sentence_id,text_emotion,audio_emotion,esd_speaker,tts_system,category,congruent,filename
01,angry,angry,0011,STYLE,explicit,True,01_angry_explicit_angry_0011_STYLE.wav
01,angry,angry,0015,COSY,explicit,True,01_angry_explicit_angry_0015_COSY.wav
01,angry,angry,0019,F5TTS,explicit,True,01_angry_explicit_angry_0019_F5TTS.wav
01,angry,happy,0012,COSY,explicit,False,01_angry_explicit_happy_0012_COSY.wav
01,angry,happy,0017,F5TTS,explicit,False,01_angry_explicit_happy_0017_F5TTS.wav
01,angry,happy,0019,STYLE,explicit,False,01_angry_explicit_happy_0019_STYLE.wav
01,angry,neutral,0015,F5TTS,explicit,False,01_angry_explicit_neutral_0015_F5TTS.wav
01,angry,neutral,0015,STYLE,explicit,False,01_angry_explicit_neutral_0015_STYLE.wav
01,angry,neutral,0019,COSY,explicit,False,01_angry_explicit_neutral_0019_COSY.wav
01,angry,sad,0013,STYLE,explicit,False,01_angry_explicit_sad_0013_STYLE.wav
01,angry,sad,0019,F5TTS,explicit,False,01_angry_explicit_sad_0019_F5TTS.wav
01,angry,sad,0020,COSY,explicit,False,01_angry_explicit_sad_0020_COSY.wav
01,angry,angry,0015,COSY,implicit,True,01_angry_implicit_angry_0015_COSY.wav
01,angry,angry,0017,F5TTS,implicit,True,01_angry_implicit_angry_0017_F5TTS.wav
01,angry,angry,0019,STYLE,implicit,True,01_angry_implicit_angry_0019_STYLE.wav
01,angry,happy,0012,STYLE,implicit,False,01_angry_implicit_happy_0012_STYLE.wav
01,angry,happy,0019,F5TTS,implicit,False,01_angry_implicit_happy_0019_F5TTS.wav
01,angry,happy,0020,COSY,implicit,False,01_angry_implicit_happy_0020_COSY.wav
01,angry,neutral,0012,COSY,implicit,False,01_angry_implicit_neutral_0012_COSY.wav
01,angry,neutral,0013,STYLE,implicit,False,01_angry_implicit_neutral_0013_STYLE.wav
01,angry,neutral,0019,F5TTS,implicit,False,01_angry_implicit_neutral_0019_F5TTS.wav
01,angry,sad,0011,STYLE,implicit,False,01_angry_implicit_sad_0011_STYLE.wav
01,angry,sad,0013,COSY,implicit,False,01_angry_implicit_sad_0013_COSY.wav
01,angry,sad,0013,F5TTS,implicit,False,01_angry_implicit_sad_0013_F5TTS.wav
01,happy,angry,0011,COSY,explicit,False,01_happy_explicit_angry_0011_COSY.wav
01,happy,angry,0011,F5TTS,explicit,False,01_happy_explicit_angry_0011_F5TTS.wav
01,happy,angry,0017,STYLE,explicit,False,01_happy_explicit_angry_0017_STYLE.wav
01,happy,happy,0015,F5TTS,explicit,True,01_happy_explicit_happy_0015_F5TTS.wav
01,happy,happy,0017,COSY,explicit,True,01_happy_explicit_happy_0017_COSY.wav
01,happy,happy,0017,STYLE,explicit,True,01_happy_explicit_happy_0017_STYLE.wav
01,happy,neutral,0011,F5TTS,explicit,False,01_happy_explicit_neutral_0011_F5TTS.wav
01,happy,neutral,0011,STYLE,explicit,False,01_happy_explicit_neutral_0011_STYLE.wav
01,happy,neutral,0015,COSY,explicit,False,01_happy_explicit_neutral_0015_COSY.wav
